wafer_id,etch_chamber_temp_avg,cmp_endpoint_thickness,thermal_anneal_temp_max,etch_endpoint_signal,wafer_edge_exclusion,etch_pressure_peak,cmp_pad_temp,deposition_uniformity_index,deposition_thickness_var,cleaning_dhf_concentration,deposition_rate_mean,implant_dose_total,litho_overlay_y,etch_chamber_temp_std,deposition_gas_flow_avg,litho_overlay_x,metrology_cd_mean,cmp_slurry_flow_rate,implant_beam_current,metrology_cd_uniformity,etch_rf_power_mean,cmp_polish_time,litho_exposure_time,deposition_chamber_pressure,litho_dose_avg,implant_tilt_angle,implant_energy_mean,cmp_pressure_avg,particle_count_post,litho_focus_offset
W0002_0000,28.83607254562272,23.116612880725235,9.497161850194594,68.43713157855646,32.1936347770285,,,0.05479467115485407,8.65007258617674,,0.8275196857601076,15.796224624329426,16.495950520759443,44.55254533368523,11.022245106275664,15.103235520238393,-12.704772383711006,-2.8522098006527674,13.041370379557902,0.05707125503397341,-0.01911029068066253,5.558305969088034,0.14118959119477287,0.12978687407305384,0.08153504779619528,5.0837323523944615,0.9890363920272174,15.820332725717215,158.52126527385911,-0.0022271970059144866
W0002_0001,2.6641774903198416,18.06529073926576,,74.44635863693188,,,19.603849750907994,0.12340960287762436,,2.589812978392214,0.8163563988273196,15.76860865511798,4.059875437942601,,25.339480056404568,19.17904890970353,0.8238111318994644,0.6830794309721506,3.8641962962318965,0.02263827827986021,,3.21332066613902,0.24937289575049565,0.05803910292180185,0.01813591298705869,4.920827319459229,0.7137385295189924,15.726994939161068,107.32039591304566,-0.009193263809755022
W0002_0002,1.0585396479487577,18.13367268295323,8.854306168320596,75.51756444871046,719.534944039761,,26.330986450145975,0.04403183829913669,8.35410069022701,5.617837074987645,0.702133453121938,15.724498236021821,107.82516494986376,16.08952526542279,14.229152553829561,17.956696283635065,4.805178825488286,,9.080030702606717,0.02388950986205036,,4.80122962274522,0.12470774257966477,0.07038609200424195,0.47461209200530025,5.6019808992404405,1.1454618619043913,,620.9694473158444,-0.009209847307489636
W0002_0003,-0.47773276989237345,17.986583748053636,9.137814301464564,,841.9562792840949,,15.596906110509313,0.0925421120378919,8.387819559765902,,,15.686964938478875,6.437872595797706,44.559140419665475,32.52662367667132,15.264324893006144,-9.08379388817568,5.428061412027793,8.395887573988192,0.021418369884725216,0.05826273888288151,5.450381164148681,0.20845023587227715,0.08166548684972755,0.0297855756130155,5.627424326842085,,15.640400993687336,154.60173903186822,-0.007946075476377653
W0002_0004,28.175371136619724,11.835774611937346,,62.46849553373483,,-5235.071387420731,20.629355091435546,,9.143965802470078,6.133228876073932,0.7875277671132473,,42.92835672892849,26.071187229619778,21.240518628057195,6.406722964107881,-0.29428090967599135,-0.05427149598346781,,,0.8430428224054523,8.454712982805138,0.11986266284859146,0.12371180458150793,0.20913991423576272,4.230242679548325,0.8729485939397701,15.658332078366378,98.13932379028012,-0.007803239707608058
W0002_0005,-2.9692371449803465,,14.220798241458228,73.05990858918092,-70.51004676747768,-5315.522925471575,42.356728559550874,0.1424699115080552,9.603401882608374,5.847249291456856,0.8754853372466478,15.706192138222335,8.505473073787218,28.08193395639048,24.361261945575848,28.391698790524845,-0.8640949201046673,1.3569865858816708,10.086196425660765,0.027207816843316718,0.2506705717385762,9.82091624051471,0.3445218129927962,0.08798708843664478,,5.167596370168252,0.8974167474010551,15.732976311276008,161.72530547242158,-0.01321724121151141
W0002_0006,-5.950173934451588,27.09360817789842,8.436586260867005,,,,21.675074098625075,0.04051774381504114,,4.539694170664703,0.5879116802414214,15.72557722371144,,62.39726147412358,16.63423670241576,3.3699522235534545,-2.7868250859435206,,7.38461213622816,0.01821529297499399,-3.411039544981271,5.978096653473603,0.11608261424066935,0.07384739169852766,0.030891053676680512,6.371664908304773,,15.716034247806869,116.15314834502347,-0.010376358494551043
W0002_0007,1.9376039101850746,17.7906660776022,6.352490587775292,68.58895992125687,-35.073929238572596,-5312.433652360034,20.023110453267464,0.05098793729279909,8.648264915614966,3.145336884346288,0.7329215728707906,15.687187902981552,4.297922018888229,42.397874684100316,,9.016121775869475,10.208094147229547,0.09540189988801373,8.892461468926944,,0.1968393233301851,10.003137294110683,0.09753013049757195,0.05039846844848357,0.01827363481660519,5.5293824828956,,15.674619551443836,142.14091099368395,-0.0101792344223459
W0002_0008,-3.5632748290576077,,,72.91328618569196,154.47513240471966,-5560.820323351391,3.6744177772462234,,8.498505252855187,4.2703635951263115,,16.024584013420387,2.6377715819747496,22.02125699115566,8.816756315073555,0.6970662197304147,5.239934940903776,6.244643817332166,6.127919001435187,0.02246687437986464,-3.0566286122191184,5.426769499852916,0.1340066556803932,0.09364842669732064,0.012375815832189023,,1.0672694666528764,15.927412744861174,249.51983062425353,-0.014287987118307026
W0002_0009,10.886967242320228,,10.770418026067142,66.67951880036686,29.822331041617055,-5709.342919486432,18.01680214128806,,8.616806993422616,1.7575780206941485,0.8329769652028367,15.826600586247896,7.089009746005258,35.338281684843196,24.74485380903161,9.196301509914589,-0.5268729935039608,-1.012841783799042,,,-2.8964163283528617,6.3694413719684135,0.12536622663082636,0.06866407641852598,0.03367920044367636,5.253565818435919,1.304724349063121,,541.3007308488206,-0.010228961937022198
